time,source,url,txt
2017.04.09,蘋果日報,https://tw.appledaily.com/new/realtime/20170409/1094366/,"富驛飯店慘賠扯兆豐洗錢案　兆豐駁斥 兆豐銀昨發布澄清稿，表示有媒體節目中，指稱「富驛飯店慘賠扯上兆豐銀洗錢弊案」一事，完全背離事實，且若有國內媒體人，就再有未經查證的不實報導，本行保有採取法律追訴權。

兆豐銀表示，今年4月8日在「政經看民視」節目上，節目主持人李晶玉指出「富驛飯店慘賠應該與兆豐銀洗錢弊案有關」云云，完全非事實，嚴重影響本行聲譽及股東權益。

兆豐銀表示，富驛集團於大陸所有投資飯店，從沒有與兆豐銀行大陸地區分行有任何授信往來，且經查目前台灣富驛集團非兆豐銀行授信戶。

兆豐金強調，國內媒體人不應利用公共媒體散布不實言論，此舉已嚴重損及本行商譽及股東權益，更有影響市場秩序及本行與同業往來之虞，如再有未經查證之不實報導，本行保有採取法律追訴權。"
2017.05.22,蘋果日報,https://tw.appledaily.com/new/realtime/20170522/1123554/,"只是不懂法規沒洗錢　兆豐洗錢案簽結   兆豐銀紐約分行去年疑涉洗錢遭美國重罰57億元，台北地檢署查出前董座蔡友才涉違法核貸兆豐銀資金，最後回流自己成立的鑒機公司，去年底依違反《金融控股公司法》特別背信等罪將蔡友才起訴求刑12年。至於美國指控紐約分行涉洗錢部分，北檢認定全案只是兆豐銀行不了解美國洗錢防制法規，才遭美方裁罰高額罰款，查無兆豐銀人員及本國人幫助洗錢，今將全案簽結。

兆豐銀行紐約分行日前因涉嫌洗錢，遭美國紐約州金融服務署（DFS）重罰新台幣約57億元。台北地檢署調查認為，DFS合意命令是認為兆豐銀不了解美國洗錢防制法規，導致紐約分行的洗錢防制機制不足、內控不佳等因素而產生嚴重缺失遭裁罰，並非認定兆豐銀行或旗下紐約分行、巴拿馬巴拿馬市分行、箇朗自由貿易區分行有洗錢行為。
 
檢方指出，根據2016年11月3日行政院「兆豐銀行遭美裁罰案督導小組」第9次會議公布，自2012年至2014年兆豐紐約分行和巴拿馬市分行、箇朗分行之間共有17033筆入帳交易，而這部份上月已公布查證結果，認定查無不法。
 
檢方調查，這其中只有6筆是兆豐銀其他海外分行非台籍客戶，以紐約分行作為中間付款行的匯款，其他均是其他同業經由紐約分行清算付款的轉匯款，匯款人均非兆豐銀客戶，兆豐銀也無從得知匯款人國籍。
 
檢方將這些匯款交易資料以「受款人」、「匯款行」、「非台籍受款人有台籍最終受益人」等屬於本國籍為條件清查，並依「匯款目的」、「匯款數額」逐筆分析，查無洗錢。

另外，兆豐銀紐約分行和箇朗分行之間在2012年有174筆退匯交易，只申報64筆，有110筆未申報，兆豐銀卻反駁DFS金檢報告，認為這110筆退匯交易並非可疑交易而無須申報的「輕蔑回應」，便是DFS重罰兆豐銀的重要原因之一。經查，紐約分行認為這110筆無須申報，是誤解美國洗錢防制法規導致，但這部份並非幫助他人洗錢，且174筆當中並沒有匯款國為台灣或受款人為台灣人。
 
檢方將這些退匯資料送調查局洗錢防制處經艾格蒙聯盟網路，向國外對等機關請求提供託查資料發現，退匯的匯款人多是委內瑞拉的鞋類、服飾批發公司，且在委內瑞拉境內銀行開戶。其中有123筆是匯給自己，51筆是匯給他人。
 
而箇朗分行在2010年間集中開戶者大部分為委內瑞拉公司，因為委內瑞拉實施外匯管制措施，巴拿馬出口商（箇朗分行授信客戶）為了收取委內瑞拉進口商美金貨款，必須先由委內瑞拉進口商把貨款匯到箇朗分行的委內瑞拉進口商外匯帳戶內。然而箇朗分和為了方便巴拿馬出口商協助委內瑞拉進口商開戶，便要求有授信客戶擔任有權簽章人、提出基本資料就可先開戶，但之後得再補齊開戶資料。
 
然而箇朗分行在2011年間遵循巴拿馬政府為了「重建形象」所下的重新清查客戶指示，大量關閉無法聯絡的委內瑞拉客戶帳戶。但這些帳戶交易對象不知此事，才產生2012年間匯款失敗、174筆退匯交易的情形。這174筆退匯交易當中，就有89筆是因帳戶關閉而退匯，其他則多是客戶要求退款、帳戶不對等原因。巴拿馬銀監局也因此在2013年間裁處箇朗、巴拿馬分行共2萬美元罰款。
 
檢方表示，箇朗分行對客戶事後未如期完成開戶、填載資料不全等沒有盡職調查、定期追蹤與更新資料，是箇朗分行內控缺失，難認有幫助洗錢。我國《洗錢防制法》幫助洗錢罪也沒處罰未遂犯的規定，因此174筆退匯交易既然已匯款失敗，就不構成幫助洗錢。
 
而依據DFS合意命令、DFS新聞稿雖提到巴拿馬文件，但只是強調巴拿馬是洗錢高風險地區，兆豐銀對於紐約分行與巴拿馬地區分行之間的交易，卻沒有給予最高程度關注與檢查，但並未具體指名兆豐銀或紐約分行與巴拿馬地區分行之間的交易有涉及洗錢。
 
另外，根據兆豐銀行OBU客戶委由巴拿馬文件所提及的事務所代辦登記公司名單，經檢視分析中央銀行外匯局提供的國外受（匯）款人交易資料明細檔案，從2010年1月1日至2016年7月31日，並沒發現有國內資金匯入上述公司設在兆豐銀行美國或巴拿馬國內分行帳戶。
 
記載紐約分行和巴拿馬分行之間在2014年入帳交易金額45億美元，其實是因紐約分行以人工計算出錯導致，正確金額為4.91億美元，卻誤植成44.91億美元。因此紐約分行和巴拿馬2個分行在2013、2014年間正確總額為74.64億美元，並非高達115億美元。其中匯款原因有96％以上是銀行之間資金拆借，其餘才是個人客戶匯款、公司進出口押匯等交易。
 
檢方指出，外界另有質疑紐約分行和客戶Samson Wu的民事訴訟也涉洗錢，但調查發現應只是B&M Kingstone公司對Samson Wu民事追償而衍伸的糾紛，並無相關判決認為兆豐銀涉及洗錢。
 
另外有告發指出，巴拿馬地區分行有名為Angel Caballero的員工與Samson Wu有關，但其實查無此人，也查無Samson Wu涉及洗錢的相關證據。"
2017.04.20,蘋果日報,https://tw.appledaily.com/new/realtime/20170420/1101971/,"兆豐洗錢案　北檢首波查1.7萬筆交易暫無不法   兆豐銀紐約分行去年疑涉洗錢遭美國重罰57億元，台北地檢署查出前董座蔡友才涉違法核貸兆豐銀資金，最後回流自己成立的鑒機公司，去年底依違反《金融控股公司法》特別背信罪等罪將蔡友才起訴求刑12年。至於洗錢部分，北檢先就行政院「兆豐銀行遭美裁罰案督導小組」第9會議公布兆豐紐約分行3年間共計17033筆可疑交易進行調查，初步查無洗錢犯罪行為，但美國指控兆豐紐約分行疑涉洗錢部分，仍有待進一步清查。

兆豐銀被美國紐約州金融服務署（NYDFS）重罰，當時NYDFS發現，豐銀紐約分行在2012年到2014年間，匯款到兆豐銀巴拿馬和箇朗分行已關閉帳戶遭退匯，這些交易記錄共有174筆、涉及76個帳戶，NYDFS進一步分析發現，這些可疑的交易的客戶，有些是由巴拿馬赫赫有名的莫薩克‧馮賽卡（Mossack Fonseca）律師事務所協助設立紙上公司，而依照「巴拿馬文件」（Panama Papers）所揭露的事證，這家律師事務所協助世界多個國家的政商名流，設立空殼公司避稅。當時外界傳言因為兆豐紐約分行涉及洗錢，甚至連「協商命令」也直指兆豐銀無法解釋紐約分行在巴拿馬2間分行的可疑交易。

台北地檢署分案偵辦後，意外發現，當時董事長蔡友才，在事發後不僅出脫手中300多張兆豐金的持股，還發現他在離職前，找部屬先成立鑒機公司，為了擴大鑒機公司的實力，不僅無心處理讓兆豐錯失良機，還非法核貸兆豐銀資金，最後再回流到鑒機作為的操盤資金，並以此取得2.25億元的報酬，將這些錢銑到海外帳戶，因此被起訴求刑。

而當初NYDFS及外界質疑兆豐透過外海分公司進行洗錢，以及2004年間，兆豐紐約分行的客戶，因為與「B&M KINGSTON」的訴訟，主張兆豐紐約分行隱匿被告SAMSON WU的財產，幫助他洗錢的部分，則另案追查。

由於去年11月3日，行政院「兆豐銀行遭美裁罰案督導小組」第9會議，公布兆豐紐約分行自2012年間至2014年間3年間，與巴拿馬箇朗自由貿易區分行、巴拿馬市分行匯款交易總筆數共計17033筆，台北地檢署就這17033筆資料先行調查，發現這些交易記錄，其中只有6筆是兆豐銀行其他海外分行非台籍客戶，以紐約分行為中間付款行的匯款，其餘17027筆全是其他銀行由紐約分行清算付款的轉匯款。

另外檢察官還以「受款人」、「匯款行」以及「非台籍受款人有台籍最終受益人」的資料加以清查，也未發現有異常或洗錢犯罪的行為。"
2016.12.02,蘋果日報,https://tw.appledaily.com/new/realtime/20161202/1002901/,"兆豐洗錢案　北檢啟動司法互助追真相  兆豐銀遭美國紐約州金融服務署（NYDFS）重罰台幣57億元事發後，外界傳言兆豐紐約分行涉洗錢，甚至連「協商命令」也直指兆豐銀無法解釋紐約分行與巴拿馬分行間高達115億美元可疑交易，台北地檢署雖調閱相關可疑帳戶資料，但認為全案仍需美、巴2國提供金流，才能查明有無洗錢弊端，北檢已另簽分他案，希望透過司法互助釐清真相。
 
當時NYDFS發現，豐銀紐約分行在2012年到2014年間，匯款到兆豐銀巴拿馬和箇朗分行已關閉帳戶遭退匯，這些交易記錄共有174筆、涉及76個帳戶，NYDFS進一步分析發現，這些可疑的交易的客戶，有些是由巴拿馬赫赫有名的莫薩克‧馮賽卡（Mossack Fonseca）律師事務所協助設立紙上公司，而依照「巴拿馬文件」（Panama Papers）所揭露的事證，這家律師事務所協助世界多個國家的政商名流，設立空殼公司避稅。
 
NYDFS還查出，兆豐紐約的一個企業客戶，其真正受益人是媒體已披露，涉及違反美國法律，轉移關鍵科技到海外的爭議人物SAMSON WU，此人疑似與兆豐銀巴拿馬的箇朗分行裡面一個經理，有一些不正當的往來。他們多次要求兆豐銀提出具體說明，但兆豐銀紐約分行一直無法提出任何，針對此開戶人，有意義的實地查核證據，NYDFS因而認定這些不正常的交易疑涉洗錢。
 
台北地檢署分案後，針對洗錢的部分進行調查，除了前往兆豐銀行、中央銀行、金管會、財政部調取相關資料，另外也請調查局洗錢防制處透過艾格蒙組織向相關國家請求協助查證，同時還指派檢察官直接進駐兆豐銀總部分析資料。
 
專案小組在分析2012到2015年，兆豐美國紐約分行及巴拿馬兩家分行，往來帳戶共2萬多筆帳戶。這2萬多筆帳戶，其中涉及退費關戶交易共174筆、由76名法人所開立，這些法人很多是設籍在委內瑞拉的公司，然而北檢目前取得的這些資料，也僅止於帳戶的所有者，以及交易明細，至於這些存入的錢怎麼來，是否有構成《洗錢防制法》特定重大犯罪不法所得，藉由金融機關等交易管道，以提、存、轉?等方式，轉化成合法的資財，仍需進一步釐清。
 
雖然對於洗錢的疑雲，蔡友才辯解，全案起因於馬拿馬政府為了洗刷洗錢王國的臭名，自2010年間起，要求各國銀行全面清查巴拿馬開戶的客戶資料，當時兆豐銀巴拿馬分行共有1000多個帳戶，其中有90多個企業客戶無法聯絡，這90多個帳戶最後依照巴拿馬銀行管理局要求「直接關閉」，而如有再匯入的錢則直接退回即可。他還強調，戶頭被凍結、關閉並不代表就是非法帳戶，也不能認定就是洗錢。
 
但檢方對於這個說法存疑，但因為全案牽涉美、巴兩國，所有可疑帳戶都是在海外開立、資金流向也在海外，相關的犯罪事證、涉案對象至今都未獲得相關機關提供資料調查，據了解，主因是這些機關均與外國政府機關簽有保密協議無法提供，另外兆豐銀巴拿馬分行的相關文件，多為西班牙文，且涉及外國人士，讓相關的查證困難重重，雖然處處困難，但北檢仍不灰心，正透過司法互助與相關國家、機關溝通，希望能夠取得資料追查到底。"
2016.08.23,蘋果日報,https://tw.appledaily.com/new/realtime/20160823/934621/,"兆豐洗錢罰57億　公銀兵敗如山倒   2010至2014年間，兆豐銀行以紐約分行帳戶為跳板，進行與旗下巴拿馬與箇朗自由區二分行相互付款沖銷，從事洗錢活動；五年間，兆豐洗錢逾百次，金額高達115億美元（約合新台幣3663億元）。自上周五（19日）深夜兆豐緊急召開記者會後，震驚全台。美國紐約州金融服務署（Department of Financial Service，DFS）裁罰兆豐1.8億美元（約合新台幣57億元），並將派員整頓兆豐紐約分行，顯見美方認為兆豐洗錢不僅嚴重，經營能力也令人堪慮。
 
據報導，DFS今年2月29日向兆豐提出金融檢查報告，並要求說明本案中不正常的交易時，兆豐避重就輕、言不及意；對洗錢堅持否認，但卻又無法提出反駁的證據。因此遭美方重罰57億。這些狡辯之詞，不禁讓人想起今年爆發的光洋科假帳案，主辦聯貸案的彰化銀行明知有問題，卻連續5年核貸共90億元，還公開為其背書。這些公股銀行，出事處理不積極，狡辯說謊卻樣樣行。不知這種無所謂的態度是一時？還是八大泛公銀都長期如此？顯然改善公銀經營能力已到刻不容緩的時機。
 
若要改善公銀經營能力，無非引進專業經理人。縱然金管會及財政部在這起案件中有監督不周之責，但綜觀這起兆豐洗錢案中洗錢行為及欺上瞞下的事實，派任的董事長、董事、獨立董事、總經理不能沒有責任。他們都是沒有企業經營專業的公務員肥貓轉進，出事又隱瞞管理公股股權的財政部及金融監理的金管會。過去政府也想引入民間專業人才，例如過去數次的金融改革。無奈政治紛擾、藍綠惡鬥，真正有益全民的經營權移轉案變弊案，想藉著金改搭車的弊案變典範。前者經典案例就是台新彰銀案，後者就像是富邦北銀案。
 
公股銀行肥大卻顢頇，甚至事涉犯罪，不能不改變。從這次的兆豐洗錢案，可見八大公股行庫幾無金融經營能力。公股銀行若仍想著吃過去老本，出事國家會當後盾；那麼，今天兆豐都開始替人洗錢，未來客戶是不是該擔心自己變犯罪帳戶？或是變成共犯？若整家銀行倒閉必須全民買單，那麼後果可比罰款57億更糟呢。"
2016.10.03,蘋果日報,https://tw.appledaily.com/new/realtime/20161003/961107/,"兆豐洗錢案第二波搜索　尹衍樑遭約談  北檢偵辦兆豐銀遭重罰57億元弊案，在上個初查出前兆豐銀前董事長蔡友才，在重罰消息尚未公布前出脫手中持股300餘張，涉犯內線交易，因此發動第一波的搜索，最近專案小組不眠不休的分析案情，連颱風天都召開專案會議，又有重大發現，今天發動第二次搜索約談，持法院核發的7張搜索票，前往鑒機資產管理公司執行搜索，並以證人身分約談潤泰總裁尹衍樑，兆豐董事會主秘王啟梆等18人到案釐清案情，目前人在調查局北機站訊問中。

美國紐約州金融服務署（NYDFS）對兆豐銀行紐約分行進行業務檢查，發現紐約分行於2012年至2014年間與巴拿馬分行頻繁異常交易，金額約有115億美元，其有近200個可疑交，有很多自巴拿馬分行被退回鉅額款項的帳戶，卻仍繼續匯款，甚至有匯款帳戶與收款帳戶的所有者相同，DFS請兆豐提供這些交易帳戶資料，紐約分行沒有完整提供，因而遭到裁罰。

依照NYDFS於今年8月19日所提出的協協商命令（ConsentOrder），這次會對兆豐銀紐約分行會被裁罰，主要存在著6大缺失，分別為一、內控缺失，二、未能有效解釋紐約分行與兆豐銀行巴拿馬分行間之可疑交易，三、未能實施適切的實地查核，四、不適切的風險評估政策及序，五、臺灣總行欠缺謹慎監督，六、紐約分行針對DFS審查報告提出令人不安及不屑一顧之回應等理由。

據了解，NYDFS在今年初2月分公布的金檢報告，已不同先前第2級satisfactory，而是已被列為危險評級的第3級。由於事情發生後兆豐銀竟未在第一時間通報董事會，前任董座又在敏感時間辭職，主管機關又遲遲沒有確定董事長人選的情況下，兆豐銀因群龍無首，無法有效解決問題，以致於被罰了1.8億美元、折合台幣57億元的天價。"
2016.09.21,蘋果日報,https://tw.appledaily.com/new/realtime/20160921/953408/,"北檢自爆兆豐洗錢案陷瓶頸　原因竟是…  台北地檢署偵辦兆豐銀疑涉洗錢案，稍早發佈新聞自爆全案偵辦陷入瓶頸，原因是「全案牽涉美國、巴拿馬二國，資金流向在海外、帳戶又在海外設立，再加上各機關因為受限與外國政府機關簽訂保密協議，至今都不願提供資料供北檢查證，讓全案偵辦困難。」

北檢新聞稿表示，當兆豐銀紐約分行被美國紐約州金融服務署（NYDFS）裁罰57億元的天價後，輿論質疑兆豐銀的相關人可能涉及背信、洗錢，北檢於8月22日剪報分案，並於隔天即傳喚相關被告及證人到庭說明，除了將前董座蔡友才限制出境外，還發現他在消息尚未曝光前，出脫手中持有的兆豐金股票，涉犯內線交易罪。

這段時間，北檢每天持續傳喚相關證人到案說明，另外也前往兆豐銀行、中央銀行、金管會、財政部調取相關資料，另外也請調查局洗錢防制處透過艾格蒙組織向相關國家請求協助查證，但做了那麼多事，案件偵辦仍遭遇瓶頸。

北檢強調，全案因為牽涉美、巴兩國，所有可疑帳戶都是在海外開立、資金流向也在海外，相關的犯罪事證、涉案對象至今都未獲得相關機關提供資料調查，也未能取得任何足以查證的文件，另外兆豐銀巴拿馬分行的相關文件，多為西班牙文，且涉及外國人士，讓相關的查證困難重重。

北檢指出，這些相關資料至今檢方仍一無所有，並非北檢消極沒有調取，事實上北檢早在分案後，即持續向金管會及相關機關調取，但因相關機關宣稱與外國政府機關簽有保密協議無法提供，北檢尊重各機關的立場，但會持續進行調查，只要有任何對於釐清案情有幫助的線索或是情資，辦案團隊就會立即採取必要的偵查作為，儘速釐清案情。"
2016.9.14,蘋果日報,https://tw.appledaily.com/new/realtime/20160914/949041/,"兆豐洗錢案　再爆多人涉內線交易遭約談  兆豐銀疑涉洗錢案情出現重大進展！檢調查出，兆豐銀遭美國重罰57億元的利空消息曝光前，除了兆豐金前董事長蔡友才趁機出脫300多張兆豐金股票外，至少另有3名可疑人士也恰巧出脫持股，藉此規避鉅額跌價損失。檢調懷疑他們可能涉及內線交易，今約談相關人士到案，訊後請回。

美國紐約州金融服務署（ＮＹＤＦＳ）自去年起，陸續對兆豐銀行紐約分行進行金融業務檢查，發現兆豐紐約分行與巴拿馬分行頻繁異常交易，但兆豐銀一直消極不作為；今年2月間，ＮＹＤＦＳ將兆豐銀紐約分行列為危險評級的第三級，而蔡友才則在今年3月底請辭兆豐董事長一職。

專案小組查出，先前一直推稱不清楚美國裁罰細節的蔡友才，其實清楚知道兆豐遭美方金檢的嚴重性，才會刻意賣股避損進而請辭董座，上周傳他到案，訊後認定他涉犯《證券交易法》背信及內線交易罪，諭令300萬元交保候傳，今再發動另一波約談行動。"
2016.09.13,蘋果日報,https://tw.appledaily.com/new/realtime/20160913/947781/,"兆豐洗錢疑案　總行承辦員遭傳訊  台北地檢署偵辦兆豐銀疑涉洗錢遭美國重罰57億元弊案，日前查出兆豐金前董事長蔡友不但全程知情，還趁機出脫手中持股，多次傳他到案後，依《證交法》背信罪諭令交保，今再約談當初經手此案的兆豐銀總行張姓女承辦員到案，訊後請回。

美國紐約州金融服務署（NYDFS）在2012年1月至3月間對兆豐銀行紐約分行進行業務檢查，發現紐約分行於2012年至2014年間與巴拿馬分行頻繁異常交易，金額高達115億美元，其中近200筆可疑交易，鉅額匯款遭巴拿馬分行退回，紐約分行仍繼續匯款，甚至有匯款帳戶與收款帳戶的所有者相同，DFS請兆豐提供這些交易帳戶資料，紐約分行卻拒絕提供完整資料，因而遭裁罰。

台北地檢署分案追查，日前到兆豐銀調取美國紐約分行與巴拿馬分行間的交易紀錄，兆豐銀已陸續將檢方想要的資料送交到檢察官的手中，檢察官也展開傳喚動作，除了傳訊前後任兆豐銀董事長蔡友才、徐光曦，也約談總經理吳漢卿、副總經理梁美琪、法遵會主管陳天祿到案等人到案。

事後檢方查出，原本對外宣稱事先不知紐約分行遭裁罰的兆豐金兼兆豐銀前董事長蔡友才，竟在請辭前分批出脫300多張兆豐金股票，藉此規避損失，專案小組因此質疑蔡友才明明知道事情的嚴重性，一邊出脫手中的持股、一邊又不理會美國的裁罰、跳船走人，認定他恐涉犯《證券交易法》的背信及內線交易等罪，上周五發動搜索約談，訊後諭令蔡友才300萬元交保，蔡的愛將兆豐金董事會前主任秘書王起梆也被諭令200萬元交保並限制出境。"
2016.08.23,蘋果日報,https://tw.appledaily.com/new/realtime/20160823/934558/,"兆豐洗錢記者會　美女檢座意外成「嬌點」   台北地檢署偵辦兆豐銀行遭美裁罰57億元案，下午大動作傳喚兆豐前後任董事長蔡友才、徐光曦到案，引發各界關注，晚間北檢特地召開記者會，由美女檢察官王珮儒說明兆豐銀涉案原因，沒想到王珮儒一上台立刻引發媒體驚呼，因她台風穩健、氣質出眾，記者紛紛打探她的來歷，方知才貌兼備的王珮儒，不但是台大法研所高材生，更是英文多益高達980分的榜首，還取得美國紐約大學法律類碩士學位及紐約州律師資格。
 
31歲的王珮儒從台大法律研究所畢業後，取得美國紐約大學法律類碩士學位（LLM），司法官訓練所53期結業，在北檢擔任婦幼專組檢察官已2年。外型冷豔的她其實個性非常溫柔，喜歡貓咪並熱愛旅行。
 
北檢今召開記者會時，借重王珮儒在紐約的法律經驗和外語長才，將紐約州金融服務管理署（DFS）19日發布的新聞稿內容逐條翻譯整理，列舉六大疏失，包括一、內控疏失，行員對於洗錢法欠缺適當訓練。二、紐約分行與巴拿馬分行間有可疑交易。三、未能實施適切的實質審查。四、不適切的風險評估和程序。五、臺灣總行欠缺監督。六、紐約分行對DFS審查報告的回應令人不安及輕視。
 
王珮儒逐一解釋DFS的新聞稿內容及協商命令後，北檢發言人張介欽接著上台表示，兆豐銀是否涉及不法仍須進一步調查，記者會約半小時結束，但仍有不少媒體留在現場探詢王珮儒的背景。據了解，去年底王珮儒已和擔任律師的男友在海外舉辦婚禮後，羨煞眾人。"
